unit,question_text,question_image,difficulty,active,choice1_text,choice1_image,choice1_correct,choice2_text,choice2_image,choice2_correct,choice3_text,choice3_image,choice3_correct,choice4_text,choice4_image,choice4_correct
เหตุผลเชิงตรรกะ,ข้อใดคือการแก้ปัญหาโดยใช้เหตุผลเชิงตรรกะ ,,2,1,ก. เดาสุ่มคำตอบของปัญหา,,0,ข. ถามคำตอบจากเพื่อน,,0,ค. ทำตามความรู้สึกของตนเอง,,0,ง. คิดหาเหตุผลก่อนตัดสินใจเลือกเส้นทางที่สั้นที่สุด,,1
เหตุผลเชิงตรรกะ,พิจารณาแบบรูปต่อไปนี้: 🔵 🟡 🔴 🔵 🟡 🔴 🔵 ? รูปถัดไปในช่องว่างคือรูปใด,,2,1,ก. 🔵,,0,ข. 🟡,,1,ค. 🔴,,0,ง. 🟢,,0
เหตุผลเชิงตรรกะ,ถ้าฝนตก แล้วพื้นจะเปียก วันนี้พื้นเปียก แสดงว่าเกิดอะไรขึ้น,,2,1,ก. ฝนอาจจะตก,,1,ข. แดดต้องออกแน่นอน,,0,ค. ต้องมีคนทำน้ำหก,,0,ง. เป็นไปไม่ได้ที่จะรู้สาเหตุ,,0
เหตุผลเชิงตรรกะ,จากภาพ ลำดับเหตุการณ์ใดถูกต้อง (ภาพ: 1.เมล็ดพืช -> 2.ต้นอ่อน -> 3.ต้นไม้มีดอก -> 4.ต้นไม้มีผล),,2,1,ก. 1 -> 2 -> 3 -> 4,,1,ข. 2 -> 1 -> 4 -> 3,,0,ค. 4 -> 3 -> 2 -> 1,,0,ง. 1 -> 3 -> 2 -> 4,,0
เหตุผลเชิงตรรกะ,หากต้องการไปโรงเรียนให้ทันเวลา ควรทำสิ่งใดเป็นอันดับแรกสุด ,,2,1,ก. กินข้าวเช้า,,0,ข. ตื่นนอน,,1,ค. อาบน้ำ,,0,ง. แต่งตัว,,0
เหตุผลเชิงตรรกะ,ถ้าต้องการหาของที่หายไปในห้อง สิ่งแรกที่ควรทำคืออะไร,,2,1,ก. ร้องไห้,,0,ข. ซื้อใหม่,,0,ค. วางแผนการค้นหาอย่างเป็นระบบ,,1,ง. บอกให้คนอื่นหาให้,,0
อัลกอริทึม,"""อัลกอริทึม"" หมายถึงอะไร",,2,1,ก. ชื่อของโปรแกรมคอมพิวเตอร์,,0,ข. ภาษาที่ใช้คุยกับคอมพิวเตอร์,,0,ค. ขั้นตอนการแก้ปัญหาอย่างเป็นลำดับ,,1,ง. อุปกรณ์คอมพิวเตอร์ชนิดหนึ่ง,,0
อัลกอริทึม,ข้อใดคือตัวอย่างของอัลกอริทึมในชีวิตประจำวัน,,2,1,ก. ความรู้สึกหิว,,0,ข. สูตรการทำไข่เจียว,,1,ค. ท้องฟ้าสีคราม,,0,ง. เสียงเพลงที่ชอบ,,0
อัลกอริทึม,"การกระทำใด ไม่จัดว่า เป็นส่วนหนึ่งของอัลกอริทึม ""การแปรงฟัน""",,2,1,ก. บีบยาสีฟันลงบนแปรง,,0,ข. แปรงฟันให้ทั่วทุกซี่,,0,ค. บ้วนปากด้วยน้ำสะอาด,,0,ง. เล่นเกมในโทรศัพท์,,1
อัลกอริทึม,ทำไมเราต้องคิดอัลกอริทึมก่อนลงมือแก้ปัญหา,,2,1,ก. เพื่อให้ปัญหายากขึ้น,,0,ข. เพื่อให้ใช้เวลาแก้ปัญหานานขึ้น,,0,ค. เพื่อให้แก้ปัญหาได้อย่างเป็นระบบและไม่ผิดพลาด,,1,ง. เพื่อให้คนอื่นแก้ปัญหาแทนเรา,,0
